,list-card-link href,list-card-addr,list-card-type,list-card-price,list-card-details,list-card-label,list-card-details 2,list-card-label 2,list-card-details 3,list-card-label 3,list-card-variable-text,list-card-link src,list-card-save-content
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""109th Avenue # 1 St Floor, Queens, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""109th Avenue # 1 St Floor"",""addressLocality"":""Queens"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.682748,""longitude"":-73.820427},""url"":""/homedetails/109th-Avenue-1-St-Floor-Queens-NY-11420/2098262123_zpid/""}",https://www.zillow.com/homedetails/109th-Avenue-1-St-Floor-Queens-NY-11420/2098262123_zpid/,"109th Avenue # 1 St Floor, Queens, NY 11420",Apartment for rent,"$2,100/mo",3,bds,1,ba,--,sqft,28 days ago,"https://maps.googleapis.com/maps/api/streetview?location=40.682748,-73.820427&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=u3QziT6xilLSy4LS4XMVid8UGhM=",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""131st St, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""131st St"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.67222,""longitude"":-73.80745},""url"":""/homedetails/131st-St-South-Ozone-Park-NY-11420/2082204341_zpid/""}",https://www.zillow.com/homedetails/131st-St-South-Ozone-Park-NY-11420/2082204341_zpid/,"131st St, South Ozone Park, NY 11420",Apartment for rent,"$2,500/mo",3,bds,2,ba,--,sqft,28 days ago,"https://maps.googleapis.com/maps/api/streetview?location=40.672220,-73.807450&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=CbliyFskGPxwEh3JyIe2gjrmxDk=",Save this home
,https://www.zillow.com/b/13519-125th-st-south-ozone-park-ny-BbSKHC/,"13519 125th St, South Ozone Park, NY",For Rent,,"$1,800+",2 bds,,,,,34 days ago,https://photos.zillowstatic.com/p_e/ISrtn3elm97nnq0000000000.jpg,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11410 149th Ave # 2, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11410 149th Ave # 2"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.66941,""longitude"":-73.826622},""url"":""/homedetails/11410-149th-Ave-2-South-Ozone-Park-NY-11420/2082281051_zpid/""}",https://www.zillow.com/homedetails/11410-149th-Ave-2-South-Ozone-Park-NY-11420/2082281051_zpid/,"11410 149th Ave # 2, South Ozone Park, NY 11420",Apartment for rent,"$2,000/mo",2,bds,1,ba,--,sqft,35 days ago,"https://maps.googleapis.com/maps/api/streetview?location=40.669410,-73.826622&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=08K7dukEVkPdUqorSfOu-4B5P3w=",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""14900 120th St, S Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""14900 120th St"",""addressLocality"":""S Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.674614,""longitude"":-73.81831},""url"":""/homedetails/14900-120th-St-S-Ozone-Park-NY-11420/2082305664_zpid/""}",https://www.zillow.com/homedetails/14900-120th-St-S-Ozone-Park-NY-11420/2082305664_zpid/,"14900 120th St, S Ozone Park, NY 11420",House for rent,"$3,000/mo",3,bds,2,ba,--,sqft,37 days ago,https://photos.zillowstatic.com/p_e/ISj3ir5l5gd60t0000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13041 127th St # 2, S Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13041 127th St # 2"",""addressLocality"":""S Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.671405,""longitude"":-73.811606},""url"":""/homedetails/13041-127th-St-2-S-Ozone-Park-NY-11420/2082375487_zpid/""}",https://www.zillow.com/homedetails/13041-127th-St-2-S-Ozone-Park-NY-11420/2082375487_zpid/,"13041 127th St # 2, S Ozone Park, NY 11420",Apartment for rent,"$1,900/mo",2,bds,1,ba,--,sqft,44 days ago,https://photos.zillowstatic.com/p_e/ISnygybe1wpkrl0000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""132nd St, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""132nd St"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.68354,""longitude"":-73.81065},""url"":""/homedetails/132nd-St-South-Ozone-Park-NY-11420/2082379722_zpid/""}",https://www.zillow.com/homedetails/132nd-St-South-Ozone-Park-NY-11420/2082379722_zpid/,"132nd St, South Ozone Park, NY 11420",House for rent,"$2,000/mo",3,bds,1,ba,--,sqft,44 days ago,https://photos.zillowstatic.com/p_e/ISbh7e4bxhrdyc1000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10938 120th St, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,412""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10938 120th St"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.681359,""longitude"":-73.821046},""url"":""/homedetails/10938-120th-St-Jamaica-NY-11420/32171230_zpid/""}",https://www.zillow.com/homedetails/10938-120th-St-Jamaica-NY-11420/32171230_zpid/,"10938 120th St, Jamaica, NY 11420",House for rent,"$1,950/mo",2,bds,1,ba,"2,412",sqft,48 days ago,https://photos.zillowstatic.com/p_e/IS7uyksx5qibd50000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11156 128th St Fl 2nd, S Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11156 128th St FL 2ND"",""addressLocality"":""S Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.681249,""longitude"":-73.812988},""url"":""/homedetails/11156-128th-St-FL-2ND-S-Ozone-Park-NY-11420/2082467241_zpid/""}",https://www.zillow.com/homedetails/11156-128th-St-FL-2ND-S-Ozone-Park-NY-11420/2082467241_zpid/,"11156 128th St FL 2ND, S Ozone Park, NY 11420",Apartment for rent,"$1,550/mo",1,bd,1,ba,--,sqft,52 days ago,"https://maps.googleapis.com/maps/api/streetview?location=40.681249,-73.812988&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=QXN61lLo9121rs8cI_kvqMF75mE=",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11604 Rockaway Blvd, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,000""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11604 Rockaway Blvd"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.676274,""longitude"":-73.821799},""url"":""/homedetails/11604-Rockaway-Blvd-South-Ozone-Park-NY-11420/2128794291_zpid/""}",https://www.zillow.com/homedetails/11604-Rockaway-Blvd-South-Ozone-Park-NY-11420/2128794291_zpid/,"11604 Rockaway Blvd, South Ozone Park, NY 11420",Apartment for rent,"$1,800/mo",2,bds,1,ba,"3,000",sqft,56 days ago,https://photos.zillowstatic.com/p_e/IS3naq5k54wb0j1000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11511 109th Ave # 2, S Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,408""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11511 109th Ave # 2"",""addressLocality"":""S Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.681649,""longitude"":-73.825193},""url"":""/homedetails/11511-109th-Ave-2-S-Ozone-Park-NY-11420/2082527862_zpid/""}",https://www.zillow.com/homedetails/11511-109th-Ave-2-S-Ozone-Park-NY-11420/2082527862_zpid/,"11511 109th Ave # 2, S Ozone Park, NY 11420",Condo for rent,"$2,100/mo",2,bds,1,ba,"1,408",sqft,56 days ago,https://photos.zillowstatic.com/p_e/IS76ow36cbaij60000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""111th Ave, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,100""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""111th Ave"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.68275,""longitude"":-73.81342},""url"":""/homedetails/111th-Ave-South-Ozone-Park-NY-11420/2082557491_zpid/""}",https://www.zillow.com/homedetails/111th-Ave-South-Ozone-Park-NY-11420/2082557491_zpid/,"111th Ave, South Ozone Park, NY 11420",Apartment for rent,"$2,100/mo",3,bds,1,ba,"1,100",sqft,59 days ago,https://photos.zillowstatic.com/p_e/ISjzmcyjncsvpb1000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11153 128th St # 3, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,100""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11153 128th St # 3"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.68133,""longitude"":-73.812404},""url"":""/homedetails/11153-128th-St-3-Jamaica-NY-11420/2082557634_zpid/""}",https://www.zillow.com/homedetails/11153-128th-St-3-Jamaica-NY-11420/2082557634_zpid/,"11153 128th St # 3, Jamaica, NY 11420",Apartment for rent,"$2,100/mo",3,bds,1,ba,"1,100",sqft,59 days ago,"https://maps.googleapis.com/maps/api/streetview?location=40.681330,-73.812404&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=WrW6TF_ffgCHVlPoIpMTQND6oCg=",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""128th St, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""128th St"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.68275,""longitude"":-73.81342},""url"":""/homedetails/128th-St-Jamaica-NY-11420/2088955076_zpid/""}",https://www.zillow.com/homedetails/128th-St-Jamaica-NY-11420/2088955076_zpid/,"128th St, Jamaica, NY 11420",Apartment for rent,"$2,100/mo",3,bds,1,ba,--,sqft,60 days ago,https://photos.zillowstatic.com/p_e/IS6i9twi4raqkt0000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""12807 Sutter Ave # 2fl, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,200""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""12807 Sutter Ave # 2FL"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.672701,""longitude"":-73.81019},""url"":""/homedetails/12807-Sutter-Ave-2FL-Jamaica-NY-11420/2082567912_zpid/""}",https://www.zillow.com/homedetails/12807-Sutter-Ave-2FL-Jamaica-NY-11420/2082567912_zpid/,"12807 Sutter Ave # 2FL, Jamaica, NY 11420",Apartment for rent,"$2,200/mo",3,bds,1,ba,"1,200",sqft,61 days ago,https://photos.zillowstatic.com/p_e/IS7ip98juilcrt0000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11015 Rockaway Blvd, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,692""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11015 Rockaway Blvd"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.677784,""longitude"":-73.828176},""url"":""/homedetails/11015-Rockaway-Blvd-Jamaica-NY-11420/32169385_zpid/""}",https://www.zillow.com/homedetails/11015-Rockaway-Blvd-Jamaica-NY-11420/32169385_zpid/,"11015 Rockaway Blvd, Jamaica, NY 11420",House for rent,"$2,500/mo",3,bds,1,ba,"2,692",sqft,63 days ago,https://photos.zillowstatic.com/p_e/ISvwgf22brir1v1000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10959 134th St, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,174""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10959 134th St"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.685049,""longitude"":-73.809288},""url"":""/homedetails/10959-134th-St-South-Ozone-Park-NY-11420/2146791996_zpid/""}",https://www.zillow.com/homedetails/10959-134th-St-South-Ozone-Park-NY-11420/2146791996_zpid/,"10959 134th St, South Ozone Park, NY 11420",Apartment for rent,"$2,500/mo",3,bds,2,ba,"2,174",sqft,64 days ago,https://photos.zillowstatic.com/p_e/ISbpl6qs8uv7yr0000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""133rd St, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,344""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""133rd St"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.67061,""longitude"":-73.80557},""url"":""/homedetails/133rd-St-Jamaica-NY-11420/2091698389_zpid/""}",https://www.zillow.com/homedetails/133rd-St-Jamaica-NY-11420/2091698389_zpid/,"133rd St, Jamaica, NY 11420",House for rent,"$3,100/mo",3,bds,2,ba,"1,344",sqft,65 days ago,https://photos.zillowstatic.com/p_e/ISbt0pxj425wz30000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11407 150th Ave, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,776""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11407 150th Ave"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.668085,""longitude"":-73.827126},""url"":""/homedetails/11407-150th-Ave-Jamaica-NY-11420/32178374_zpid/""}",https://www.zillow.com/homedetails/11407-150th-Ave-Jamaica-NY-11420/32178374_zpid/,"11407 150th Ave, Jamaica, NY 11420",House for rent,"$3,000/mo",2,bds,1,ba,"1,776",sqft,68 days ago,https://photos.zillowstatic.com/p_e/ISrheouo6clvy81000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""116th St, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,000""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""116th St"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.67467,""longitude"":-73.82252},""url"":""/homedetails/116th-St-South-Ozone-Park-NY-11420/2088682990_zpid/""}",https://www.zillow.com/homedetails/116th-St-South-Ozone-Park-NY-11420/2088682990_zpid/,"116th St, South Ozone Park, NY 11420",House for rent,"$1,500/mo",1,bd,1,ba,"1,000",sqft,69 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11125 123rd St, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,220""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11125 123rd St"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.680875,""longitude"":-73.817194},""url"":""/homedetails/11125-123rd-St-Jamaica-NY-11420/32172375_zpid/""}",https://www.zillow.com/homedetails/11125-123rd-St-Jamaica-NY-11420/32172375_zpid/,"11125 123rd St, Jamaica, NY 11420",House for rent,"$2,500/mo",3,bds,1.5,ba,"1,220",sqft,85 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13048 128th St # 2, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,400""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13048 128th St # 2"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.671169,""longitude"":-73.811309},""url"":""/homedetails/13048-128th-St-2-Jamaica-NY-11420/2084286446_zpid/""}",https://www.zillow.com/homedetails/13048-128th-St-2-Jamaica-NY-11420/2084286446_zpid/,"13048 128th St # 2, Jamaica, NY 11420",Apartment for rent,"$2,500/mo",3,bds,1,ba,"1,400",sqft,86 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""122nd Pl, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,400""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""122nd Pl"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.6717,""longitude"":-73.81663},""url"":""/homedetails/122nd-Pl-Jamaica-NY-11420/2087872449_zpid/""}",https://www.zillow.com/homedetails/122nd-Pl-Jamaica-NY-11420/2087872449_zpid/,"122nd Pl, Jamaica, NY 11420",House for rent,"$2,300/mo",3,bds,2,ba,"1,400",sqft,86 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13526 118th St # 2, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,075""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13526 118th St # 2"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.670014,""longitude"":-73.822334},""url"":""/homedetails/13526-118th-St-2-Jamaica-NY-11420/2084287509_zpid/""}",https://www.zillow.com/homedetails/13526-118th-St-2-Jamaica-NY-11420/2084287509_zpid/,"13526 118th St # 2, Jamaica, NY 11420",Apartment for rent,"$2,200/mo",3,bds,1,ba,"1,075",sqft,86 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""122nd Pl, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""900""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""122nd Pl"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.6717,""longitude"":-73.81663},""url"":""/homedetails/122nd-Pl-South-Ozone-Park-NY-11420/2087872446_zpid/""}",https://www.zillow.com/homedetails/122nd-Pl-South-Ozone-Park-NY-11420/2087872446_zpid/,"122nd Pl, South Ozone Park, NY 11420",Apartment for rent,"$2,100/mo",2,bds,1,ba,900,sqft,86 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""12403 149th Ave # 2, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,000""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""12403 149th Ave # 2"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.66773,""longitude"":-73.81593},""url"":""/homedetails/12403-149th-Ave-2-South-Ozone-Park-NY-11420/2099032988_zpid/""}",https://www.zillow.com/homedetails/12403-149th-Ave-2-South-Ozone-Park-NY-11420/2099032988_zpid/,"12403 149th Ave # 2, South Ozone Park, NY 11420",Apartment for rent,"$2,600/mo",3,bds,2,ba,"1,000",sqft,90 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""123rd St, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""123rd St"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.67801,""longitude"":-73.8161},""url"":""/homedetails/123rd-St-South-Ozone-Park-NY-11420/2083020609_zpid/""}",https://www.zillow.com/homedetails/123rd-St-South-Ozone-Park-NY-11420/2083020609_zpid/,"123rd St, South Ozone Park, NY 11420",Apartment for rent,"$2,000/mo",2,bds,1,ba,--,sqft,97 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11402 135th Ave # 2, S Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11402 135th Ave # 2"",""addressLocality"":""S Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.671264,""longitude"":-73.826285},""url"":""/homedetails/11402-135th-Ave-2-S-Ozone-Park-NY-11420/2083088877_zpid/""}",https://www.zillow.com/homedetails/11402-135th-Ave-2-S-Ozone-Park-NY-11420/2083088877_zpid/,"11402 135th Ave # 2, S Ozone Park, NY 11420",Condo for rent,"$3,000/mo",3,bds,2,ba,--,sqft,103 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
